(eps=0.060000000000000005, alpha=1.1e-06, tol=0.07): Ein=1.9018736134420378, Eval=2.060809476030472
(eps=0.060000000000000005, alpha=1.1e-06, tol=0.08): Ein=1.9018736134420378, Eval=2.060809476030472
(eps=0.060000000000000005, alpha=1.1e-06, tol=0.09000000000000001): Ein=1.9018736134420378, Eval=2.060809476030472
(eps=0.060000000000000005, alpha=1.1e-06, tol=0.1): Ein=1.9018736134420378, Eval=2.060809476030472
(eps=0.060000000000000005, alpha=1.1e-06, tol=0.11): Ein=1.9018736134420378, Eval=2.060809476030472
(eps=0.060000000000000005, alpha=1.1e-06, tol=0.12000000000000001): Ein=1.9018736134420378, Eval=2.060809476030472
(eps=0.060000000000000005, alpha=1.1e-06, tol=0.13): Ein=1.9018736134420378, Eval=2.060809476030472
(eps=0.060000000000000005, alpha=1.1e-06, tol=0.14): Ein=1.9018736134420378, Eval=2.060809476030472
(eps=0.060000000000000005, alpha=1.1e-06, tol=0.15000000000000002): Ein=1.9018736134420378, Eval=2.060809476030472
(eps=0.060000000000000005, alpha=1.2e-06, tol=0.05): Ein=1.8942888338070898, Eval=2.0585834563675967
(eps=0.060000000000000005, alpha=1.2e-06, tol=0.060000000000000005): Ein=1.9018748990547298, Eval=2.060809873471472
(eps=0.060000000000000005, alpha=1.2e-06, tol=0.07): Ein=1.9018748990547298, Eval=2.060809873471472
(eps=0.060000000000000005, alpha=1.2e-06, tol=0.08): Ein=1.9018748990547298, Eval=2.060809873471472
(eps=0.060000000000000005, alpha=1.2e-06, tol=0.09000000000000001): Ein=1.9018748990547298, Eval=2.060809873471472
(eps=0.060000000000000005, alpha=1.2e-06, tol=0.1): Ein=1.9018748990547298, Eval=2.060809873471472
(eps=0.060000000000000005, alpha=1.2e-06, tol=0.11): Ein=1.9018748990547298, Eval=2.060809873471472
(eps=0.060000000000000005, alpha=1.2e-06, tol=0.12000000000000001): Ein=1.9018748990547298, Eval=2.060809873471472
(eps=0.060000000000000005, alpha=1.2e-06, tol=0.13): Ein=1.9018748990547298, Eval=2.060809873471472
(eps=0.060000000000000005, alpha=1.2e-06, tol=0.14): Ein=1.9018748990547298, Eval=2.060809873471472
(eps=0.060000000000000005, alpha=1.2e-06, tol=0.15000000000000002): Ein=1.9018748990547298, Eval=2.060809873471472
(eps=0.060000000000000005, alpha=1.2999999999999998e-06, tol=0.05): Ein=1.894289920981082, Eval=2.0585833225742287
(eps=0.060000000000000005, alpha=1.2999999999999998e-06, tol=0.060000000000000005): Ein=1.9018763162192287, Eval=2.060773459825319
(eps=0.060000000000000005, alpha=1.2999999999999998e-06, tol=0.07): Ein=1.9018763162192287, Eval=2.060773459825319
(eps=0.060000000000000005, alpha=1.2999999999999998e-06, tol=0.08): Ein=1.9018763162192287, Eval=2.060773459825319
