(eps=0.0, alpha=5e-06, tol=0.13): Ein=1.8938830330043575, Eval=2.0636128591446763
(eps=0.0, alpha=5e-06, tol=0.14): Ein=1.8938830330043575, Eval=2.0636128591446763
(eps=0.0, alpha=5e-06, tol=0.15000000000000002): Ein=1.8938830330043575, Eval=2.0636128591446763
(eps=0.0, alpha=5e-06, tol=0.16): Ein=1.8938830330043575, Eval=2.0636128591446763
(eps=0.0, alpha=5e-06, tol=0.17): Ein=1.8938830330043575, Eval=2.0636128591446763
(eps=0.0, alpha=5e-06, tol=0.18): Ein=1.8938830330043575, Eval=2.0636128591446763
(eps=0.0, alpha=5e-06, tol=0.19): Ein=1.8938830330043575, Eval=2.0636128591446763
(eps=0.0, alpha=6.000000000000001e-06, tol=0.0): Ein=1.802167757897089, Eval=2.1818668083198673
(eps=0.0, alpha=6.000000000000001e-06, tol=0.010000000000000009): Ein=1.8655254622854172, Eval=2.0808845190661107
(eps=0.0, alpha=6.000000000000001e-06, tol=0.020000000000000004): Ein=1.879043400628879, Eval=2.0685820820657512
(eps=0.0, alpha=6.000000000000001e-06, tol=0.03): Ein=1.8863499615605426, Eval=2.0649550720717
(eps=0.0, alpha=6.000000000000001e-06, tol=0.04000000000000001): Ein=1.8863499615605426, Eval=2.0649550720717
(eps=0.0, alpha=6.000000000000001e-06, tol=0.05): Ein=1.8863499615605426, Eval=2.0649550720717
(eps=0.0, alpha=6.000000000000001e-06, tol=0.060000000000000005): Ein=1.8939679582558895, Eval=2.0636559810304593
(eps=0.0, alpha=6.000000000000001e-06, tol=0.07): Ein=1.8939679582558895, Eval=2.0636559810304593
(eps=0.0, alpha=6.000000000000001e-06, tol=0.08): Ein=1.8939679582558895, Eval=2.0636559810304593
(eps=0.0, alpha=6.000000000000001e-06, tol=0.09000000000000001): Ein=1.8939679582558895, Eval=2.0636559810304593
(eps=0.0, alpha=6.000000000000001e-06, tol=0.1): Ein=1.8939679582558895, Eval=2.0636559810304593
(eps=0.0, alpha=6.000000000000001e-06, tol=0.11): Ein=1.8939679582558895, Eval=2.0636559810304593
(eps=0.0, alpha=6.000000000000001e-06, tol=0.12000000000000001): Ein=1.8939679582558895, Eval=2.0636559810304593
(eps=0.0, alpha=6.000000000000001e-06, tol=0.13): Ein=1.8939679582558895, Eval=2.0636559810304593
(eps=0.0, alpha=6.000000000000001e-06, tol=0.14): Ein=1.8939679582558895, Eval=2.0636559810304593
(eps=0.0, alpha=6.000000000000001e-06, tol=0.15000000000000002): Ein=1.8939679582558895, Eval=2.0636559810304593
(eps=0.0, alpha=6.000000000000001e-06, tol=0.16): Ein=1.8939679582558895, Eval=2.0636559810304593
(eps=0.0, alpha=6.000000000000001e-06, tol=0.17): Ein=1.8939679582558895, Eval=2.0636559810304593
(eps=0.0, alpha=6.000000000000001e-06, tol=0.18): Ein=1.8939679582558895, Eval=2.0636559810304593
(eps=0.0, alpha=6.000000000000001e-06, tol=0.19): Ein=1.8939679582558895, Eval=2.0636559810304593
(eps=0.0, alpha=7.000000000000001e-06, tol=0.0): Ein=1.8021691745881596, Eval=2.181914434557661
(eps=0.0, alpha=7.000000000000001e-06, tol=0.010000000000000009): Ein=1.8654891836577692, Eval=2.0809166777477714
(eps=0.0, alpha=7.000000000000001e-06, tol=0.020000000000000004): Ein=1.8790585925079306, Eval=2.0683909668152434
(eps=0.0, alpha=7.000000000000001e-06, tol=0.03): Ein=1.8862857397716986, Eval=2.065114430348991
(eps=0.0, alpha=7.000000000000001e-06, tol=0.04000000000000001): Ein=1.8862857397716986, Eval=2.065114430348991
(eps=0.0, alpha=7.000000000000001e-06, tol=0.05): Ein=1.8862857397716986, Eval=2.065114430348991
(eps=0.0, alpha=7.000000000000001e-06, tol=0.060000000000000005): Ein=1.8940006307061004, Eval=2.0637771004852605
(eps=0.0, alpha=7.000000000000001e-06, tol=0.07): Ein=1.8940006307061004, Eval=2.0637771004852605
(eps=0.0, alpha=7.000000000000001e-06, tol=0.08): Ein=1.8940006307061004, Eval=2.0637771004852605
(eps=0.0, alpha=7.000000000000001e-06, tol=0.09000000000000001): Ein=1.8940006307061004, Eval=2.0637771004852605
(eps=0.0, alpha=7.000000000000001e-06, tol=0.1): Ein=1.8940006307061004, Eval=2.0637771004852605
(eps=0.0, alpha=7.000000000000001e-06, tol=0.11): Ein=1.8940006307061004, Eval=2.0637771004852605
(eps=0.0, alpha=7.000000000000001e-06, tol=0.12000000000000001): Ein=1.8940006307061004, Eval=2.0637771004852605
(eps=0.0, alpha=7.000000000000001e-06, tol=0.13): Ein=1.8940006307061004, Eval=2.0637771004852605
(eps=0.0, alpha=7.000000000000001e-06, tol=0.14): Ein=1.8940006307061004, Eval=2.0637771004852605
(eps=0.0, alpha=7.000000000000001e-06, tol=0.15000000000000002): Ein=1.8940006307061004, Eval=2.0637771004852605
(eps=0.0, alpha=7.000000000000001e-06, tol=0.16): Ein=1.8940006307061004, Eval=2.0637771004852605
(eps=0.0, alpha=7.000000000000001e-06, tol=0.17): Ein=1.8940006307061004, Eval=2.0637771004852605
(eps=0.0, alpha=7.000000000000001e-06, tol=0.18): Ein=1.8940006307061004, Eval=2.0637771004852605
(eps=0.0, alpha=7.000000000000001e-06, tol=0.19): Ein=1.8940006307061004, Eval=2.0637771004852605
(eps=0.0, alpha=8.000000000000001e-06, tol=0.0): Ein=1.8021925933409464, Eval=2.182024995971472
(eps=0.0, alpha=8.000000000000001e-06, tol=0.010000000000000009): Ein=1.8655562604196163, Eval=2.081169537607726
(eps=0.0, alpha=8.000000000000001e-06, tol=0.020000000000000004): Ein=1.8790659204716955, Eval=2.0685703091305827
(eps=0.0, alpha=8.000000000000001e-06, tol=0.03): Ein=1.8863374757086244, Eval=2.0651516717168064
(eps=0.0, alpha=8.000000000000001e-06, tol=0.04000000000000001): Ein=1.8863374757086244, Eval=2.0651516717168064
(eps=0.0, alpha=8.000000000000001e-06, tol=0.05): Ein=1.8863374757086244, Eval=2.0651516717168064
(eps=0.0, alpha=8.000000000000001e-06, tol=0.060000000000000005): Ein=1.893978846229147, Eval=2.063659777663007
(eps=0.0, alpha=8.000000000000001e-06, tol=0.07): Ein=1.893978846229147, Eval=2.063659777663007
(eps=0.0, alpha=8.000000000000001e-06, tol=0.08): Ein=1.893978846229147, Eval=2.063659777663007
(eps=0.0, alpha=8.000000000000001e-06, tol=0.09000000000000001): Ein=1.893978846229147, Eval=2.063659777663007
(eps=0.0, alpha=8.000000000000001e-06, tol=0.1): Ein=1.893978846229147, Eval=2.063659777663007
(eps=0.0, alpha=8.000000000000001e-06, tol=0.11): Ein=1.893978846229147, Eval=2.063659777663007
(eps=0.0, alpha=8.000000000000001e-06, tol=0.12000000000000001): Ein=1.893978846229147, Eval=2.063659777663007
(eps=0.0, alpha=8.000000000000001e-06, tol=0.13): Ein=1.893978846229147, Eval=2.063659777663007
(eps=0.0, alpha=8.000000000000001e-06, tol=0.14): Ein=1.893978846229147, Eval=2.063659777663007
(eps=0.0, alpha=8.000000000000001e-06, tol=0.15000000000000002): Ein=1.893978846229147, Eval=2.063659777663007
(eps=0.0, alpha=8.000000000000001e-06, tol=0.16): Ein=1.893978846229147, Eval=2.063659777663007
(eps=0.0, alpha=8.000000000000001e-06, tol=0.17): Ein=1.893978846229147, Eval=2.063659777663007
(eps=0.0, alpha=8.000000000000001e-06, tol=0.18): Ein=1.893978846229147, Eval=2.063659777663007
(eps=0.0, alpha=8.000000000000001e-06, tol=0.19): Ein=1.893978846229147, Eval=2.063659777663007
(eps=0.0, alpha=9e-06, tol=0.0): Ein=1.8015517059284372, Eval=2.179531234671484
(eps=0.0, alpha=9e-06, tol=0.010000000000000009): Ein=1.8654789730564252, Eval=2.080959438326719
(eps=0.0, alpha=9e-06, tol=0.020000000000000004): Ein=1.8790637828525723, Eval=2.0684270803335885
(eps=0.0, alpha=9e-06, tol=0.03): Ein=1.8863745151535714, Eval=2.0649007459836692
(eps=0.0, alpha=9e-06, tol=0.04000000000000001): Ein=1.8863745151535714, Eval=2.0649007459836692
(eps=0.0, alpha=9e-06, tol=0.05): Ein=1.8863745151535714, Eval=2.0649007459836692
(eps=0.0, alpha=9e-06, tol=0.060000000000000005): Ein=1.8940054574504337, Eval=2.063585294286173
(eps=0.0, alpha=9e-06, tol=0.07): Ein=1.8940054574504337, Eval=2.063585294286173
(eps=0.0, alpha=9e-06, tol=0.08): Ein=1.8940054574504337, Eval=2.063585294286173
(eps=0.0, alpha=9e-06, tol=0.09000000000000001): Ein=1.8940054574504337, Eval=2.063585294286173
(eps=0.0, alpha=9e-06, tol=0.1): Ein=1.8940054574504337, Eval=2.063585294286173
(eps=0.0, alpha=9e-06, tol=0.11): Ein=1.8940054574504337, Eval=2.063585294286173
(eps=0.0, alpha=9e-06, tol=0.12000000000000001): Ein=1.8940054574504337, Eval=2.063585294286173
(eps=0.0, alpha=9e-06, tol=0.13): Ein=1.8940054574504337, Eval=2.063585294286173
(eps=0.0, alpha=9e-06, tol=0.14): Ein=1.8940054574504337, Eval=2.063585294286173
(eps=0.0, alpha=9e-06, tol=0.15000000000000002): Ein=1.8940054574504337, Eval=2.063585294286173
(eps=0.0, alpha=9e-06, tol=0.16): Ein=1.8940054574504337, Eval=2.063585294286173
(eps=0.0, alpha=9e-06, tol=0.17): Ein=1.8940054574504337, Eval=2.063585294286173
(eps=0.0, alpha=9e-06, tol=0.18): Ein=1.8940054574504337, Eval=2.063585294286173
(eps=0.0, alpha=9e-06, tol=0.19): Ein=1.8940054574504337, Eval=2.063585294286173
(eps=0.0, alpha=1e-05, tol=0.0): Ein=1.8022112140720696, Eval=2.1820550334433215
(eps=0.0, alpha=1e-05, tol=0.010000000000000009): Ein=1.8655298232415463, Eval=2.0809052375987447
(eps=0.0, alpha=1e-05, tol=0.020000000000000004): Ein=1.879057151938306, Eval=2.0683831910322628
(eps=0.0, alpha=1e-05, tol=0.03): Ein=1.8863113404281258, Eval=2.0650540312144137
(eps=0.0, alpha=1e-05, tol=0.04000000000000001): Ein=1.8863113404281258, Eval=2.0650540312144137
(eps=0.0, alpha=1e-05, tol=0.05): Ein=1.8863113404281258, Eval=2.0650540312144137
(eps=0.0, alpha=1e-05, tol=0.060000000000000005): Ein=1.8939651883487034, Eval=2.0636035884414623
(eps=0.0, alpha=1e-05, tol=0.07): Ein=1.8939651883487034, Eval=2.0636035884414623
(eps=0.0, alpha=1e-05, tol=0.08): Ein=1.8939651883487034, Eval=2.0636035884414623
(eps=0.0, alpha=1e-05, tol=0.09000000000000001): Ein=1.8939651883487034, Eval=2.0636035884414623
(eps=0.0, alpha=1e-05, tol=0.1): Ein=1.8939651883487034, Eval=2.0636035884414623
(eps=0.0, alpha=1e-05, tol=0.11): Ein=1.8939651883487034, Eval=2.0636035884414623
(eps=0.0, alpha=1e-05, tol=0.12000000000000001): Ein=1.8939651883487034, Eval=2.0636035884414623
(eps=0.0, alpha=1e-05, tol=0.13): Ein=1.8939651883487034, Eval=2.0636035884414623
(eps=0.0, alpha=1e-05, tol=0.14): Ein=1.8939651883487034, Eval=2.0636035884414623
(eps=0.0, alpha=1e-05, tol=0.15000000000000002): Ein=1.8939651883487034, Eval=2.0636035884414623
(eps=0.0, alpha=1e-05, tol=0.16): Ein=1.8939651883487034, Eval=2.0636035884414623
(eps=0.0, alpha=1e-05, tol=0.17): Ein=1.8939651883487034, Eval=2.0636035884414623
(eps=0.0, alpha=1e-05, tol=0.18): Ein=1.8939651883487034, Eval=2.0636035884414623
(eps=0.0, alpha=1e-05, tol=0.19): Ein=1.8939651883487034, Eval=2.0636035884414623
(eps=0.0, alpha=1.1000000000000001e-05, tol=0.0): Ein=1.8021910971781339, Eval=2.18162323288776
(eps=0.0, alpha=1.1000000000000001e-05, tol=0.010000000000000009): Ein=1.8655097204641984, Eval=2.0810004923169836
(eps=0.0, alpha=1.1000000000000001e-05, tol=0.020000000000000004): Ein=1.8790588537854205, Eval=2.0684467109351914
(eps=0.0, alpha=1.1000000000000001e-05, tol=0.03): Ein=1.8863273757856196, Eval=2.0651129614307777
(eps=0.0, alpha=1.1000000000000001e-05, tol=0.04000000000000001): Ein=1.8863273757856196, Eval=2.0651129614307777
(eps=0.0, alpha=1.1000000000000001e-05, tol=0.05): Ein=1.8863273757856196, Eval=2.0651129614307777
(eps=0.0, alpha=1.1000000000000001e-05, tol=0.060000000000000005): Ein=1.893980402382629, Eval=2.0636136265614473
(eps=0.0, alpha=1.1000000000000001e-05, tol=0.07): Ein=1.893980402382629, Eval=2.0636136265614473
(eps=0.0, alpha=1.1000000000000001e-05, tol=0.08): Ein=1.893980402382629, Eval=2.0636136265614473
(eps=0.0, alpha=1.1000000000000001e-05, tol=0.09000000000000001): Ein=1.893980402382629, Eval=2.0636136265614473
(eps=0.0, alpha=1.1000000000000001e-05, tol=0.1): Ein=1.893980402382629, Eval=2.0636136265614473
(eps=0.0, alpha=1.1000000000000001e-05, tol=0.11): Ein=1.893980402382629, Eval=2.0636136265614473
(eps=0.0, alpha=1.1000000000000001e-05, tol=0.12000000000000001): Ein=1.893980402382629, Eval=2.0636136265614473
(eps=0.0, alpha=1.1000000000000001e-05, tol=0.13): Ein=1.893980402382629, Eval=2.0636136265614473
(eps=0.0, alpha=1.1000000000000001e-05, tol=0.14): Ein=1.893980402382629, Eval=2.0636136265614473
(eps=0.0, alpha=1.1000000000000001e-05, tol=0.15000000000000002): Ein=1.893980402382629, Eval=2.0636136265614473
